1,xyz: 6 0 8
0,./a.out
Device:,wlp2s0
=== Transmission ===
BSSID,dB_mean,measure_count,antenna_index,channel,TSFT,flags,data_rate,rx_flag,timestamp,mcs,ampdu_status
3C:41:0E:FE:F4:81,-85,3,3,108,136,16,48,0,201,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,85,16,48,0,150,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,124,16,48,0,189,4294967295,4294967295
DD:7D:46:B6:F4:81,-80,3,3,108,165,16,2,0,230,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,89,16,48,0,154,4294967295,4294967295
A0:46:88:F6:AD:00,-84,3,3,108,25,16,48,0,90,4294967295,4294967295
A4:88:73:9C:AD:00,-78,3,3,108,2,16,48,0,67,4294967295,4294967295
A4:88:73:9C:AD:01,-78,3,3,108,147,16,48,0,213,4294967295,4294967295
A4:88:73:9C:AD:02,-78,3,3,108,48,16,48,0,114,4294967295,4294967295
A4:88:73:9C:AD:04,-78,3,3,108,193,16,48,0,2,4294967295,4294967295
A0:46:88:F6:05:00,-84,3,3,108,65,16,48,0,130,4294967295,4294967295
3C:41:0E:FE:F4:82,-86,3,3,108,88,16,48,0,153,4294967295,4294967295
A0:46:88:F6:00:00,-85,3,3,108,141,16,48,0,206,4294967295,4294967295
A0:46:88:F6:23:80,-85,3,3,108,93,16,48,0,158,4294967295,4294967295
9E:18:88:BE:72:5E,-78,3,3,108,61,16,24,0,126,4294967295,4294967295
3C:41:0E:FF:23:80,-76,3,3,108,11,16,48,0,76,4294967295,4294967295
3C:41:0E:FF:23:84,-76,3,3,108,201,16,48,0,10,4294967295,4294967295
3C:41:0E:FE:F4:81,-84,3,3,108,219,16,48,0,29,4294967295,4294967295
3C:41:0E:FE:F4:81,-86,3,3,108,155,16,48,0,220,4294967295,4294967295
3C:41:0E:FE:F4:81,-85,3,3,108,224,16,48,0,33,4294967295,4294967295
A0:46:88:F6:FF:00,-85,3,3,108,93,16,48,0,158,4294967295,4294967295
3C:41:0E:FF:20:00,-77,3,3,108,195,16,48,0,4,4294967295,4294967295
3C:41:0E:FF:20:01,-78,3,3,108,84,16,48,0,149,4294967295,4294967295
3C:41:0E:FF:20:02,-78,3,3,108,240,16,48,0,50,4294967295,4294967295
3C:41:0E:FF:20:04,-77,3,3,108,129,16,48,0,195,4294967295,4294967295
A0:46:88:F6:00:00,-85,3,3,108,88,16,48,0,153,4294967295,4294967295
C8:84:A1:CE:B5:40,-83,3,3,108,225,16,48,0,34,4294967295,4294967295
C8:84:A1:CE:B5:41,-83,3,3,108,113,16,48,0,179,4294967295,4294967295
C8:84:A1:CE:B5:42,-81,3,3,108,14,16,48,0,79,4294967295,4294967295
C8:84:A1:CE:B5:44,-83,3,3,108,159,16,48,0,225,4294967295,4294967295
A0:46:88:F6:B5:40,-84,3,3,108,153,16,48,0,218,4294967295,4294967295
A0:46:88:F6:08:A9,-84,3,3,108,109,16,48,0,175,4294967295,4294967295
16:F4:46:1A:4E:AA,-65,3,3,108,11,16,2,0,77,4294967295,4294967295
A0:46:88:F6:40:A0,-85,3,3,108,221,16,48,0,30,4294967295,4294967295
